gvkey,datadate,conm,atq,dlcq,dlttq,ltq
017120,3/31/2000,MNSN HOLDINGS INC,5064.525,0,38.55,4663.841
017120,6/30/2000,MNSN HOLDINGS INC,5393.225,0,38.563,4957.042
017120,9/30/2000,MNSN HOLDINGS INC,5504.131,0,38.576,4915.166
017120,12/31/2000,MNSN HOLDINGS INC,5626.775,0,38.589,4981.986
017120,3/31/2001,MNSN HOLDINGS INC,4842.755,0,38.602,4152.171
017120,6/30/2001,MNSN HOLDINGS INC,4422.761,0,38.615,3737.417
017120,9/30/2001,MNSN HOLDINGS INC,4147.885,40.937,64.103,3453.615
017120,12/31/2001,MNSN HOLDINGS INC,4172.077,41.203,64.326,3516.287
017120,3/31/2002,MNSN HOLDINGS INC,3987.475,41.469,64.55,3320.285
017120,6/30/2002,MNSN HOLDINGS INC,3831.77,41.734,64.885,3142.371
017120,9/30/2002,MNSN HOLDINGS INC,3863.599,9.058,56.747,3208.827
017120,12/31/2002,MNSN HOLDINGS INC,4183.181,9.127,56.869,3549.673
017120,3/31/2003,MNSN HOLDINGS INC,3988.088,9.196,56.785,3378.095
017120,6/30/2003,MNSN HOLDINGS INC,4294.59,9.264,201.775,3814.974
017120,9/30/2003,MNSN HOLDINGS INC,4259.816,9.054,193.108,3756.739
017120,12/31/2003,MNSN HOLDINGS INC,4465.37,9.124,204.286,3967.621
017120,3/31/2004,MNSN HOLDINGS INC,4492.255,9.761,202.763,3959.887
017120,6/30/2004,MNSN HOLDINGS INC,4857.521,34.263,205.805,4315.352
017120,9/30/2004,MNSN HOLDINGS INC,4930.633,10.05,196.096,4343.833
017120,12/31/2004,MNSN HOLDINGS INC,5145.679,9.82,196.21,4533.046
017120,3/31/2005,MNSN HOLDINGS INC,5070.024,11.915,195.681,4457.906
017120,6/30/2005,MNSN HOLDINGS INC,5307.826,11.418,197.499,4676.816
017120,9/30/2005,MNSN HOLDINGS INC,5369.066,121.56,196.231,4713.903
017120,12/31/2005,MNSN HOLDINGS INC,5541.715,279.475,195.832,4852.958
017120,3/31/2006,MNSN HOLDINGS INC,5446.268,292.178,197.37,4721.785
017120,6/30/2006,MNSN HOLDINGS INC,5471.651,533.811,197.847,4750.497
017120,9/30/2006,MNSN HOLDINGS INC,5873.109,812.436,199.416,5120.641
017120,12/31/2006,MNSN HOLDINGS INC,6081.452,683.537,352.465,5286.923
017120,3/31/2007,MNSN HOLDINGS INC,5847.856,583.901,353.151,4999.398
017120,6/30/2007,MNSN HOLDINGS INC,6605.08,453.905,689.211,5718.998
017120,9/30/2007,MNSN HOLDINGS INC,6304.088,519.137,706.233,5395.323
017120,12/31/2007,MNSN HOLDINGS INC,6692.456,239.269,725.985,5775.7
017120,3/31/2008,MNSN HOLDINGS INC,6897.303,120,893.189,5949.418
017120,6/30/2008,MNSN HOLDINGS INC,7309.871,330,975.878,6333.369
017120,9/30/2008,MNSN HOLDINGS INC,8070.945,425,981.946,7015.295
017120,12/31/2008,MNSN HOLDINGS INC,10020.892,163.523,899.237,8711.785
017120,3/31/2009,MNSN HOLDINGS INC,10958.768,56.45,964.175,9666.371
017120,6/30/2009,MNSN HOLDINGS INC,11465.887,31.34,909.641,10140.677
017120,9/30/2009,MNSN HOLDINGS INC,12538.603,52.285,866.748,11145.831
017120,12/31/2009,MNSN HOLDINGS INC,12841.399,40.66,854.745,11367.289
017120,3/31/2010,MNSN HOLDINGS INC,14125.249,39.895,859.713,12576.089
017120,6/30/2010,MNSN HOLDINGS INC,14903.986,44.735,869.81,13277.031
017120,9/30/2010,MNSN HOLDINGS INC,15660.069,59.735,1225.81,13963.773
017120,12/31/2010,MNSN HOLDINGS INC,17527.761,290.96,955.545,15779.483
017120,3/31/2011,MNSN HOLDINGS INC,18618.266,35.415,1204.733,16771.235
017120,6/30/2011,MNSN HOLDINGS INC,19366.735,0,609.596,17350.684
017120,9/30/2011,MNSN HOLDINGS INC,19195.363,145.632,463.925,17003.035
017120,12/31/2011,MNSN HOLDINGS INC,19968.894,145.408,458.24,17718.505
017120,3/31/2012,MNSN HOLDINGS INC,20818.337,993.416,457.799,18475.634
017120,6/30/2012,MNSN HOLDINGS INC,21289.772,5.88,458.232,18845.447
017120,9/30/2012,MNSN HOLDINGS INC,21576.934,508.17,458.314,19021.588
017120,12/31/2012,MNSN HOLDINGS INC,22766.123,166.11,457.762,20160.89
017120,3/31/2013,MNSN HOLDINGS INC,22796,7.46,457.194,20133.942
017120,6/30/2013,MNSN HOLDINGS INC,22153.901,5.4,455.938,19481.806
017120,9/30/2013,MNSN HOLDINGS INC,23740.864,5.58,455.744,20817.22
017120,12/31/2013,MNSN HOLDINGS INC,26417.189,5.08,455.216,23337.861
017120,3/31/2014,MNSN HOLDINGS INC,29711.039,4.81,454.77,26344.058
017120,6/30/2014,MNSN HOLDINGS INC,33309.016,4.91,454.462,29370.992
017120,9/30/2014,MNSN HOLDINGS INC,36041.007,6.63,453.764,32100.991
017120,12/31/2014,MNSN HOLDINGS INC,39344.64,7.781,453.443,35288.216
017120,3/31/2015,MNSN HOLDINGS INC,39695.99,77.766,802.917,35418.759
017120,6/30/2015,MNSN HOLDINGS INC,40236.118,2.537,802.454,37046.646
017120,9/30/2015,MNSN HOLDINGS INC,41730.982,3.756,797.211,38416.754
017120,12/31/2015,MNSN HOLDINGS INC,44686.703,774.9,796.702,41353.472
017120,3/31/2016,MNSN HOLDINGS INC,43573.902,0,796.57,40062.862
017120,6/30/2016,MNSN HOLDINGS INC,43132.654,503.219,796.329,39498.861
017120,9/30/2016,MNSN HOLDINGS INC,43274.037,2.421,795.971,39550.72
017120,12/31/2016,MNSN HOLDINGS INC,44683.66,559.314,749.058,40906.623
017120,3/31/2017,MNSN HOLDINGS INC,46413.339,5.163,795.465,42509.883
017120,6/30/2017,MNSN HOLDINGS INC,48400.379,0.47,749.429,44360.344
017120,9/30/2017,MNSN HOLDINGS INC,50754.287,4.84,749.618,46556.989
017120,12/31/2017,MNSN HOLDINGS INC,51214.467,1033.73,695.492,46895.052
017120,3/31/2018,MNSN HOLDINGS INC,53500.787,1102.14,695.731,48941.063
017120,6/30/2018,MNSN HOLDINGS INC,55867.745,417.246,695.972,51062.904
017120,9/30/2018,MNSN HOLDINGS INC,58139.734,2631.252,696.217,53069.689
017120,12/31/2018,MNSN HOLDINGS INC,56927.979,631.412,696.465,51663.136
017120,3/31/2019,MNSN HOLDINGS INC,60160.285,14.455,901.882,54676.462
017120,6/30/2019,MNSN HOLDINGS INC,63773.739,24.252,892.296,58067.564
017120,9/30/2019,MNSN HOLDINGS INC,68231.233,18.898,889.77,62182.764
017120,12/31/2019,MNSN HOLDINGS INC,71004.903,17.43,566.834,64383.823
017120,3/31/2020,MNSN HOLDINGS INC,75009.64,3138.162,575.347,67826.419
017120,6/30/2020,MNSN HOLDINGS INC,85730.985,50.924,1082.577,78262.672
017120,9/30/2020,MNSN HOLDINGS INC,96916.771,19.068,1090.082,88949.391
017120,12/31/2020,MNSN HOLDINGS INC,115511.007,20.553,1103.182,107077.516
017120,3/31/2021,MNSN HOLDINGS INC,142346.62,38.434,1625.596,132225.841
017120,6/30/2021,MNSN HOLDINGS INC,163399,34,2111,151432
017120,9/30/2021,MNSN HOLDINGS INC,190996,97,2315,176327
017120,12/31/2021,MNSN HOLDINGS INC,211478,121,2958,194869
017120,3/31/2022,MNSN HOLDINGS INC,220355,99,2945,203995
017120,6/30/2022,MNSN HOLDINGS INC,214389,3703,3744,198113
017120,9/30/2022,MNSN HOLDINGS INC,212867,13552,3797,197057
017120,12/31/2022,MNSN HOLDINGS INC,211793,15565,3783,195498
